District,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,Mean Vaccination
Sant Kabir Nagar,6304.0,6456,6624,6703.0,6758.0,6759,6855,6883,6884,6893,6976,6976.0,7302,7488,7501,7518,6930.0
Shahjahanpur,9955.0,10558,11676,12992.0,13371.0,13376,14557,14559,14559,14562,14562,14581.0,15320,15772,15772,15772,13872.0
Shamli,3784.0,3784,4635,4838.0,4881.0,5125,5241,5273,5273,5422,5422,5422.0,5680,5757,5764,5764,5129.0
Shrawasti,4704.0,4704,4696,4707.0,4707.0,4720,4850,4859,4863,4864,4864,4864.0,5015,5068,5096,5096,4855.0
Siddharthnagar,9979.0,11924,12137,12306.0,12306.0,12306,12369,12891,12891,12891,12891,12929.0,13035,13077,13077,13077,12505.0
Sitapur,15292.0,15926,16269,16908.0,16959.0,16962,17940,17994,17995,18007,18010,18014.0,18925,19456,19456,19483,17725.0
Sonbhadra,8331.0,10056,9664,9691.0,9694.0,9697,10007,10008,10008,10012,10012,10013.0,10684,11252,11340,11475,10122.0
Sultanpur,12222.0,12257,12175,12175.0,12175.0,12175,12814,12885,12889,12889,12890,12928.0,13611,14172,14196,14196,12916.0
Unnao,13485.0,13546,13185,13351.0,13385.0,13387,13644,13720,13831,13833,13846,14203.0,14359,14924,15461,15462,13976.0
Varanasi,18364.0,18386,18310,18553.0,18827.0,19000,19687,20415,20417,20479,20490,20509.0,21407,21875,21875,22319,20057.0
Almora,4480.0,4480,4478,4512.0,4512.0,4616,4646,4764,4771,5153,5155,5173.0,5291,5385,5387,5387,4887.0
Bageshwar,2587.0,2589,2587,2624.0,2624.0,2668,2695,2695,2884,2929,2929,2929.0,2951,3022,3022,3022,2797.0
Chamoli,6221.0,6221,6221,6249.0,6249.0,6605,6669,6721,6731,6818,6818,6818.0,6846,6891,6891,6892,6616.0
Champawat,3553.0,3553,3591,4135.0,4161.0,4182,4336,4350,4350,4386,4386,4399.0,4411,4469,4469,4469,4200.0
Dehradun,20439.0,20608,20544,20647.0,20647.0,20826,20965,21106,21277,21906,21957,22131.0,22375,22974,23378,23741,21595.0
Haridwar,10352.0,10386,10629,10763.0,10770.0,11019,11179,11179,11246,11664,11756,11777.0,12024,12488,12643,12947,11426.0
Nainital,9828.0,9837,10248,10308.0,10315.0,10382,10425,10425,10446,11085,11162,11214.0,11282,11535,11760,11956,10763.0
Pauri Garhwal,5447.0,5569,5467,5727.0,5727.0,5820,5951,5951,5957,6037,6037,6074.0,6241,6474,6554,6554,5974.0
Pithoragarh,5522.0,5523,6196,6290.0,7077.0,7113,7135,7202,7202,7237,7237,7262.0,7447,7488,7488,7488,6932.0
Rudraprayag,1802.0,1802,1802,1834.0,1834.0,1853,1883,1883,1888,2012,2012,2036.0,2054,2113,2132,2132,1942.0
Tehri Garhwal,6037.0,6037,5983,6126.0,6126.0,6225,6261,6357,6400,6535,6535,6536.0,6634,6849,6854,6855,6397.0
Udham Singh Nagar,6822.0,6838,7392,7469.0,7482.0,7534,7617,7644,7792,8184,8198,8269.0,8426,8782,8935,9203,7912.0
Uttarkashi,4103.0,4103,4096,4135.0,4183.0,4250,4357,4363,4593,4767,4767,4767.0,4829,4880,4880,4889,4498.0
Alipurduar,10514.0,10547,11281,11392.0,11419.0,11608,12537,13181,14162,16387,16387,17337.0,17662,18167,18759,18759,14381.0
Bankura,29011.0,29011,28977,29548.0,29756.0,30287,32933,34991,35546,37094,37141,37611.0,38428,39224,39355,39356,34267.0
North 24 Parganas,9535.0,9535,9527,9698.0,9766.0,9853,10281,10402,10402,10899,10899,11184.0,11187,11417,11721,11721,10502.0
Birbhum,16959.0,16960,16946,17083.0,18056.0,18360,19143,19600,20148,24396,25162,26913.0,28194,28473,29325,29474,22200.0
Bankura,3113.0,3115,3116,3117.0,3298.0,3309,3405,3405,3408,3461,3461,3688.0,3933,4227,4463,4463,3561.0
Cooch Behar,14071.0,14071,14055,14355.0,15049.0,15838,16726,19831,20204,22349,27224,28463.0,29954,31316,31395,31396,21644.0
Dakshin Dinajpur,15932.0,15932,15876,16275.0,16493.0,16895,17208,18077,18610,18866,19053,19327.0,19639,19828,19870,19895,17986.0
Darjeeling,27458.0,27459,27573,27948.0,28008.0,28204,28628,28869,29354,30295,30440,31028.0,31890,32524,33482,33515,29792.0
South 24 Parganas,10256.0,10256,10256,10392.0,10479.0,10591,10877,10877,10958,11347,11347,11821.0,12362,12957,13085,13087,11309.0
Purba Bardhaman,25247.0,25247,25162,25299.0,25340.0,25916,27376,28976,30550,33589,33603,34442.0,34536,35355,36187,36215,30190.0
Hooghly,23579.0,23581,22905,23610.0,23772.0,24260,24887,25101,25315,27403,39804,40625.0,41582,42626,42948,42958,30935.0
Howrah,29677.0,29689,29782,30450.0,30877.0,32208,36323,37326,37401,39140,39141,39487.0,41724,43484,45774,46095,36786.0
Jalpaiguri,18569.0,18620,18331,19002.0,19621.0,19866,20319,20368,20378,21640,22558,22567.0,22738,22992,23130,23152,20866.0
Jhargram,10988.0,10988,10847,10891.0,10895.0,10904,12146,12228,12352,13230,13232,14876.0,15502,16196,16327,16327,12996.0
Kalimpong,3241.0,3241,3224,3261.0,3394.0,3430,3489,3649,3885,4103,4103,4204.0,4294,4353,4356,4356,3786.0
Kolkata,150729.0,150729,149501,153558.0,155653.0,157944,161881,163849,164512,170283,170574,174363.0,178404,182585,186396,188553,166220.0
Malda,19858.0,20061,20091,22710.0,23476.0,23904,24270,24272,24313,25511,25583,27370.0,28182,29303,31264,31441,25101.0
Murshidabad,34959.0,35121,35576,37200.0,38365.0,39469,41089,41232,41762,43051,43051,44553.0,46933,51315,54362,54362,42650.0
Nadia,35176.0,36169,36199,37439.0,37757.0,38822,41069,41310,41812,46273,46827,49886.0,52972,55507,57645,57660,44533.0
Purba Medinipur,5790.0,5790,5790,5876.0,6027.0,6028,6163,6163,6163,6406,6406,6597.0,6660,6858,7060,7060,6302.0
North 24 Parganas,61334.0,61367,61470,63453.0,63729.0,65198,68635,69264,69627,75004,75005,76767.0,77506,80154,81773,81879,70760.0
Paschim Medinipur,27726.0,27726,27499,27840.0,27918.0,28370,28659,28759,28899,29542,29802,30730.0,32286,33320,34462,34490,29877.0
Purba Medinipur,15556.0,15560,15183,15377.0,15384.0,15452,19765,20617,20620,22992,22992,24265.0,26437,27852,27879,27879,20863.0
Purulia,18395.0,18395,18452,18488.0,18575.0,19086,20093,20428,21172,22063,26812,27567.0,28107,28535,29746,29746,22854.0
Birbhum,4685.0,4703,4666,4765.0,4915.0,4945,5101,5165,5193,5388,5452,5760.0,5814,6085,6471,6542,5353.0
South 24 Parganas,24722.0,24722,24585,24762.0,24814.0,24843,25926,27324,28455,30811,30823,31695.0,33412,34487,35068,35071,28845.0
Uttar Dinajpur,,18051,12945,13301.0,14003.0,14645,15293,15423,15439,15963,15963,16368.0,17112,17527,17585,17585,15814.0
Paschim Bardhaman,22782.0,22921,23028,23797.0,23819.0,24230,24912,25598,25849,26725,26725,26997.0,27158,27723,28093,28168,25533.0
